采样时间：2026-05-30 12:13:15
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0.10566	1056.97803	422.19305	38.63643	
0.10586	970.54962	362.01056	179.44884	
0.10605	715.29285	351.207	192.0835	
0.10625	618.12189	231.45238	207.03757	
0.10645	477.12637	3.17392	160.71046	
0.10664	397.96136	18.92148	184.08765	
0.10684	230.71992	72.32887	187.07846	
0.10703	33.20414	61.58635	161.25981	
0.10723	124.27137	41.13895	20.02014	
0.10742	122.07404	6.46992	29.23673	
0.10762	45.53362	143.31493	122.5013	
0.10781	210.15045	250.31282	93.50871	
0.10801	314.82895	253.4257	362.68198	
0.1082	364.39099	257.57623	493.9726	
0.1084	381.8476	306.22272	341.319	
0.10859	368.78568	314.15753	322.27545	
0.10879	260.75015	238.8989	406.93381	
0.10898	135.92944	166.14276	475.29526	
0.10918	64.33302	67.75109	506.91245	
0.10938	52.79702	36.50014	504.59305	
0.10957	66.53035	-9.82696	498.18414	
0.10977	-33.44829	-110.17182	480.7886	
0.10996	-234.38216	-66.34724	461.43985	
0.11016	-420.66714	-9.94903	437.2692	
0.11035	-324.35071	-112.85744	372.26477	
0.11055	-211.55431	-135.68529	346.38507	
0.11074	-168.64528	-90.15168	279.06125	
0.11094	-190.98483	-73.91583	238.34956	
0.11113	-131.53477	-23.7434	305.00198	
0.11133	-5.12711	-57.61895	279.6106	
0.11152	-76.72353	37.65984	215.64378	
0.11172	70.86398	143.74217	172.36855	
0.11191	252.26601	259.46835	180.60854	
0.11211	239.26512	471.75513	264.77859	
0.1123	241.95074	441.0535	169.68291	
0.1125	294.99191	400.03662	206.48824	
0.1127	173.83344	393.0784	58.10724	
0.11289	57.49687	401.56256	-342.29559	
0.11309	215.8269	390.33173	-132.87759	
0.11328	215.09445	270.14984	87.64916	
0.11348	137.08914	227.05771	62.07465	
0.11367	103.27464	164.12854	68.36146	
0.11387	97.96442	40.58962	58.83969	
0.11406	177.67876	-23.13303	161.74809	
0.11426	233.40556	58.0462	285.59222	
0.11445	294.01532	86.12323	327.58569	
0.11465	378.49054	72.38991	319.71191	
0.11484	501.48013	149.7238	272.16406	
0.11504	537.73615	174.99313	211.98157	
0.11523	521.80548	179.8761	275.88733	
0.11543	526.01703	301.21768	326.97531	
0.11562	538.5296	494.03363	380.6879	
0.11582	607.13525	593.95123	434.52255	
0.11602	609.94293	651.87537	409.2532	
0.11621	540.91003	647.41968	390.02655	
0.11641	496.4751	604.14441	357.55487	
0.1166	437.39127	598.40692	248.72585	
0.1168	365.55072	603.35095	61.89154	
0.11699	324.1676	589.0683	164.92203	
0.11719	333.50629	506.79037	339.06064	
0.11738	334.17767	424.63455	272.28613	
0.11758	343.08908	449.9649	279.73267	
0.11777	402.66122	498.42828	332.65176	
0.11797	436.41467	484.32874	279.12228	
0.11816	468.03186	479.87305	320.62747	
0.11836	491.40903	482.25348	480.42236	
0.11855	535.96606	548.47864	483.23007	
0.11875	635.27332	623.61523	504.71512	
0.11895	744.22437	688.25342	610.065	
0.11914	801.35504	731.28455	581.6828	
0.11934	789.758	752.7085	504.22681	
0.11953	773.09491	732.50525	469.06949	
0.11973	735.74023	609.0274	455.45822	
0.11992	660.78674	489.63898	380.26062	
0.12012	560.38086	383.43454	237.2509	
0.12031	497.63483	317.51459	177.80084	
0.12051	460.58536	253.73088	64.63821	
0.1207	424.75662	247.50511	106.38753	
0.1209	454.60373	296.09058	301.21768	
0.12109	509.35391	365.48965	308.48108	
0.12129	581.6828	487.13644	320.62747	
0.12148	635.27332	538.16339	349.19278	
0.12168	669.51508	558.48871	319.95605	
0.12188	744.2854	537.85822	358.28729	
0.12207	806.17694	524.79626	478.46918	
0.12227	852.93127	576.86084	504.71512	
0.12246	872.89038	630.51239	532.2428	
0.12266	829.4931	660.42053	580.2179	
0.12285	760.03296	507.21762	554.27716	
0.12305	710.77606	388.74478	425.79425	
0.12324	583.20874	224.61623	339.9762	
0.12344	381.48135	5.00504	268.37976	
0.12363	308.90836	-53.40739	126.34663	
0.12383	333.62836	-211.00497	21.66814	
0.12402	381.42032	-62.68502	14.70992	
0.12422	410.35187	213.6906	124.39345	
